ABC
ABC ACD
ABD BCD
ABC ACD ADE
ABC ACE CDE
ABD ADE BCD
ABE BCD BDE
ABE BCE CDE
ABC ACD ADE AEF
ABC ACD ADF DEF
ABC ACE AEF CDE
ABC ACF CDE CEF
ABC ACF CDF DEF
ABD ADE AEF BCD
ABD ADF BCD DEF
ABE AEF BCD BDE
ABE AEF BCE CDE
ABF BCD BDE BEF
ABF BCD BDF DEF
ABF BCE BEF CDE
ABF BCF CDE CEF
ABF BCF CDF DEF
ABC ACD ADE AEF AFG
ABC ACD ADE AEG EFG
ABC ACD ADF AFG DEF
ABC ACD ADG DEF DFG
ABC ACD ADG DEG EFG
ABC ACE AEF AFG CDE
ABC ACE AEG CDE EFG
ABC ACF AFG CDE CEF
ABC ACF AFG CDF DEF
ABC ACG CDE CEF CFG
ABC ACG CDE CEG EFG
ABC ACG CDF CFG DEF
ABC ACG CDG DEF DFG
ABC ACG CDG DEG EFG
ABD ADE AEF AFG BCD
ABD ADE AEG BCD EFG
ABD ADF AFG BCD DEF
ABD ADG BCD DEF DFG
ABD ADG BCD DEG EFG
ABE AEF AFG BCD BDE
ABE AEF AFG BCE CDE
ABE AEG BCD BDE EFG
ABE AEG BCE CDE EFG
ABF AFG BCD BDE BEF
ABF AFG BCD BDF DEF
ABF AFG BCE BEF CDE
ABF AFG BCF CDE CEF
ABF AFG BCF CDF DEF
ABG BCD BDE BEF BFG
ABG BCD BDE BEG EFG
ABG BCD BDF BFG DEF
ABG BCD BDG DEF DFG
ABG BCD BDG DEG EFG
ABG BCE BEF BFG CDE
ABG BCE BEG CDE EFG
ABG BCF BFG CDE CEF
ABG BCF BFG CDF DEF
ABG BCG CDE CEF CFG
ABG BCG CDE CEG EFG
ABG BCG CDF CFG DEF
ABG BCG CDG DEF DFG
ABG BCG CDG DEG EFG
ABC ACD ADE AEF AFG AGH
ABC ACD ADE AEF AFH FGH
ABC ACD ADE AEG AGH EFG
ABC ACD ADE AEH EFG EGH
ABC ACD ADE AEH EFH FGH
ABC ACD ADF AFG AGH DEF
ABC ACD ADF AFH DEF FGH
ABC ACD ADG AGH DEF DFG
ABC ACD ADG AGH DEG EFG
ABC ACD ADH DEF DFG DGH
ABC ACD ADH DEF DFH FGH
ABC ACD ADH DEG DGH EFG
ABC ACD ADH DEH EFG EGH
ABC ACD ADH DEH EFH FGH
ABC ACE AEF AFG AGH CDE
ABC ACE AEF AFH CDE FGH
ABC ACE AEG AGH CDE EFG
ABC ACE AEH CDE EFG EGH
ABC ACE AEH CDE EFH FGH
ABC ACF AFG AGH CDE CEF
ABC ACF AFG AGH CDF DEF
ABC ACF AFH CDE CEF FGH
ABC ACF AFH CDF DEF FGH
ABC ACG AGH CDE CEF CFG
ABC ACG AGH CDE CEG EFG
ABC ACG AGH CDF CFG DEF
ABC ACG AGH CDG DEF DFG
ABC ACG AGH CDG DEG EFG
ABC ACH CDE CEF CFG CGH
ABC ACH CDE CEF CFH FGH
ABC ACH CDE CEG CGH EFG
ABC ACH CDE CEH EFG EGH
ABC ACH CDE CEH EFH FGH
ABC ACH CDF CFG CGH DEF
ABC ACH CDF CFH DEF FGH
ABC ACH CDG CGH DEF DFG
ABC ACH CDG CGH DEG EFG
ABC ACH CDH DEF DFG DGH
ABC ACH CDH DEF DFH FGH
ABC ACH CDH DEG DGH EFG
ABC ACH CDH DEH EFG EGH
ABC ACH CDH DEH EFH FGH
ABD ADE AEF AFG AGH BCD
ABD ADE AEF AFH BCD FGH
ABD ADE AEG AGH BCD EFG
ABD ADE AEH BCD EFG EGH
ABD ADE AEH BCD EFH FGH
ABD ADF AFG AGH BCD DEF
